team,location_value,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,possessions,raw_off_eff,location_value_opp,mp_opp,fg_opp,fga_opp,fg_pct_opp,fg3_opp,fg3a_opp,fg3_pct_opp,ft_opp,fta_opp,ft_pct_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,possessions_opp,raw_off_eff_opp,fg2,fg2a,fg2_pct,efg,rate_3pa,rate_2pa,ft_rate,ftm_rate,tov_rate,orb_rate,drb_rate,ast_rate,stl_rate,blk_rate,pace,def_eff,net_eff,games_played
Mississippi St.,0.3333,205.5556,28.2222,63.8889,0.4438,8.4444,26.7778,0.3151,13.4444,20.1111,0.6411,10.3333,28.5556,38.8889,13.1111,6.4444,4.6667,11.8889,15.7778,78.3333,74.9967,104.47,-0.3333,205.5556,28.5556,68.4444,0.4169,8.0,26.2222,0.3032,13.4444,17.8889,0.7493,11.3333,26.3333,37.6667,15.0,6.3333,4.2222,9.5556,17.5556,78.5556,75.1644,104.53,19.7778,37.1111,0.5345,0.5104,0.4201,0.5799,0.3173,0.2133,0.1571,0.2865,0.7142,0.1746,0.0856,0.0622,14.5977,104.5845,-0.1145,9
Mississippi Valley St.,-0.7778,205.5556,22.7778,59.3333,0.3843,4.7778,17.6667,0.2634,13.4444,17.1111,0.802,8.3333,19.5556,27.8889,11.5556,7.0,3.4444,16.2222,22.5556,63.7778,75.3489,85.2811,0.7778,205.5556,29.5556,61.5556,0.4773,11.1111,29.6667,0.369,23.4444,32.0,0.7318,11.3333,25.2222,36.5556,19.4444,10.0,2.7778,10.4444,16.4444,93.6667,75.8689,122.76,18.0,41.6667,0.434,0.4246,0.2974,0.7026,0.2903,0.2286,0.2086,0.256,0.6347,0.1525,0.0945,0.0447,14.7488,123.6488,-38.3677,9
Missouri,0.4545,200.0,31.2727,58.6364,0.5369,8.0909,21.6364,0.3957,16.5455,24.2727,0.6807,10.5455,24.5455,35.0909,15.8182,8.0909,3.0909,12.7273,17.4545,87.1818,72.3464,120.6027,-0.4545,200.0,23.8182,58.4545,0.4079,9.8182,27.8182,0.3505,13.2727,18.6364,0.7036,7.6364,17.7273,25.3636,12.6364,6.3636,2.5455,12.5455,19.6364,70.7273,72.2155,98.3527,23.1818,37.0,0.6262,0.6065,0.366,0.634,0.4164,0.2834,0.1742,0.3643,0.7563,0.2194,0.1102,0.0427,14.4693,98.2467,22.3561,11
Missouri St.,0.2,200.0,22.4,53.4,0.4184,6.4,23.0,0.2548,17.4,26.6,0.6452,6.6,18.2,24.8,11.6,7.6,3.4,11.2,18.6,68.6,70.638,97.242,-0.2,200.0,27.6,57.8,0.4824,7.4,21.2,0.3452,16.0,22.6,0.6798,10.6,23.6,34.2,15.0,6.2,3.4,12.2,19.2,78.6,70.138,112.04,16.0,30.4,0.5305,0.4786,0.4293,0.5707,0.4954,0.3236,0.1574,0.213,0.636,0.1641,0.1074,0.0473,14.1276,111.3967,-14.1547,5
Monmouth,-0.3333,202.7778,23.7778,56.2222,0.426,6.3333,18.7778,0.3422,17.1111,22.8889,0.7417,9.4444,22.5556,32.0,13.1111,7.5556,5.0,11.0,16.8889,71.0,68.6511,103.4633,0.3333,202.7778,25.3333,58.0,0.4407,7.6667,21.7778,0.355,14.7778,20.7778,0.6728,9.6667,22.3333,32.0,14.6667,6.0,4.3333,11.8889,18.6667,73.1111,70.0922,104.3,17.4444,37.4444,0.4689,0.4828,0.334,0.666,0.4236,0.3173,0.1602,0.2885,0.7088,0.191,0.1104,0.0731,13.563,106.4878,-3.0245,9
Montana,0.0,200.0,27.625,56.875,0.4841,9.125,23.875,0.3774,15.875,22.125,0.706,6.625,23.75,30.375,16.25,4.625,3.0,14.75,18.125,80.25,75.51,106.175,0.0,200.0,31.0,67.25,0.4635,6.5,21.375,0.3172,15.375,21.375,0.6996,11.375,22.5,33.875,14.25,9.0,3.875,10.0,19.25,83.875,76.0275,110.3988,18.5,33.0,0.5578,0.566,0.4253,0.5747,0.3901,0.2781,0.1967,0.2267,0.6834,0.2161,0.0618,0.0395,15.102,111.3797,-5.2047,8
Montana St.,-0.5,203.125,26.5,59.25,0.4489,8.75,27.125,0.3241,11.5,15.875,0.7049,7.25,20.625,27.875,9.75,6.375,2.125,10.375,19.125,73.25,69.9162,104.8475,0.5,203.125,26.125,56.125,0.4654,5.875,18.875,0.3212,16.875,22.125,0.7539,8.25,24.0,32.25,12.25,6.25,2.375,11.0,16.125,75.0,69.385,108.1738,17.75,32.125,0.5508,0.5225,0.4565,0.5435,0.2704,0.1951,0.1471,0.2311,0.7116,0.1399,0.0929,0.0297,13.7595,107.3561,-2.5086,8
Morehead St.,-1.0,200.0,24.25,60.375,0.4032,6.375,20.875,0.3106,14.0,19.75,0.6972,12.0,21.625,33.625,10.0,6.625,3.375,14.5,20.5,68.875,72.2575,95.36,1.0,200.0,29.875,65.0,0.4595,9.625,28.75,0.3186,16.875,24.0,0.7166,13.5,24.625,38.125,18.0,8.5,4.0,11.375,18.125,86.25,74.2762,116.5212,17.875,39.5,0.4549,0.4561,0.3447,0.6553,0.3344,0.2372,0.1981,0.3229,0.6113,0.1371,0.0911,0.0475,14.4515,119.9109,-24.5509,8
Morgan St.,0.0,200.0,22.875,58.625,0.3876,4.625,17.125,0.2616,17.75,23.25,0.7525,9.625,18.0,27.625,11.375,4.75,2.75,11.625,21.5,68.125,71.6675,95.0362,0.0,200.0,26.625,53.375,0.5022,7.75,22.0,0.3605,22.5,31.5,0.717,9.375,24.0,33.375,17.625,6.375,4.75,11.25,18.625,83.5,70.215,119.1238,18.25,41.5,0.4411,0.4257,0.2899,0.7101,0.4095,0.3137,0.161,0.2842,0.6656,0.1596,0.0668,0.0376,14.3335,116.6508,-21.6146,8
Mount St. Mary's,-0.4,202.5,23.9,55.4,0.4294,8.7,26.0,0.3313,10.5,16.8,0.6182,7.8,23.9,31.7,14.6,4.4,2.6,15.9,20.0,67.0,71.48,93.6,0.4,202.5,26.2,59.8,0.4382,9.0,26.1,0.3422,18.4,24.8,0.7534,9.4,23.0,32.4,12.6,9.3,2.7,9.2,15.3,79.8,71.379,111.528,15.2,29.4,0.5191,0.5069,0.4672,0.5328,0.3084,0.1931,0.2227,0.2501,0.7234,0.2043,0.0615,0.0364,14.1236,111.4523,-17.8523,10
