date,team,opponent,location_value,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,possessions,raw_off_eff
2025-11-03,Arkansas,Southern,1,200,37,73,0.507,10,28,0.357,25,29,0.862,14,28,42,23,10,4,9,18,109,81.78,133.29
2025-11-03,North Dakota,Alabama,-1,200,24,62,0.387,5,20,0.25,9,17,0.529,4,18,22,13,11,1,10,19,62,76.08,81.5
2025-11-03,Alabama,North Dakota,1,200,31,58,0.534,8,27,0.296,21,27,0.778,8,33,41,22,8,7,15,15,91,77.83,116.93
2025-11-03,Fairleigh Dickinson,Iowa St.,-1,200,17,52,0.327,6,27,0.222,10,17,0.588,6,23,29,7,6,4,18,11,50,72.08,69.37
2025-11-03,Iowa St.,Fairleigh Dickinson,1,200,35,67,0.522,12,27,0.444,6,9,0.667,7,32,39,19,11,1,9,20,88,73.28,120.1
2025-11-03,Jackson St.,Illinois,-1,200,19,62,0.306,7,29,0.241,10,14,0.714,3,13,16,5,11,2,10,22,55,75.65,72.7
2025-11-03,Illinois,Jackson St.,1,200,40,73,0.548,17,37,0.459,16,24,0.667,21,39,60,23,6,2,12,10,113,75.4,149.87
2025-11-03,Mercer,Tennessee,-1,200,20,67,0.299,6,29,0.207,15,21,0.714,9,16,25,7,15,4,5,20,61,72.97,83.59
2025-11-03,Tennessee,Mercer,1,200,30,61,0.492,7,17,0.412,9,15,0.6,13,35,48,19,2,3,19,18,76,74.12,102.53
2025-11-03,Green Bay,Kansas,-1,200,16,56,0.286,8,31,0.258,11,18,0.611,5,17,22,7,2,2,6,20,51,65.55,77.8
2025-11-03,Kansas,Green Bay,1,200,33,58,0.569,10,27,0.37,18,24,0.75,9,35,44,20,6,8,3,15,94,63.4,148.26
2025-11-03,Bethune Cookman,Auburn,-1,225,35,70,0.5,12,23,0.522,8,9,0.889,8,24,32,18,9,9,12,24,90,78.28,114.98
2025-11-03,Auburn,Bethune Cookman,1,225,31,68,0.456,6,23,0.261,27,38,0.711,12,25,37,15,10,4,11,12,95,85.05,111.7
