Rank,Team,Current_AdjEM,AdjO,AdjD,AdjT,Games,Preseason_AdjEM,SurpriseZ,CollapseFactor,FinalPreseasonWeight,Blended_AdjEM
30,Iowa,23.833141488989483,119.3,95.4,65.5,11,13.15,1.3353926861236853,0.6894456144735674,8.27334737368281,19.24725721746431
31,Virginia,22.415250590798934,121.3,98.9,70.4,10,12.03,1.2981563238498668,0.6989309707136531,8.387171648563836,17.67809574266964
32,Baylor,17.102904362233986,123.0,105.9,73.5,9,18.06,-0.11963695472075164,0.9052042176089733,10.862450611307679,17.626324372130078
33,Utah St.,21.48489663580368,115.9,94.4,71.7,9,13.53,0.99436207947546,0.769726142063472,9.236713704761664,17.455820785547544
34,Ohio St.,16.660489701749796,115.7,99.1,72.1,10,18.15,-0.1861887872812753,0.8981259854120154,10.777511824944185,17.433114209824687
35,N.C. State,21.242445066149358,119.6,98.3,72.3,11,12.63,1.0765556332686697,0.7517809259088477,9.021371110906173,17.361788607426455
36,Wake Forest,20.365977706278713,116.5,96.1,73.5,11,13.88,0.810747213284839,0.8064495819510143,9.677394983412173,17.330422784219238
37,Wisconsin,12.42593239903158,115.1,102.7,73.0,10,22.36,-1.2417584501210523,0.7129776241431226,8.555731489717472,17.006361634154217
38,SMU,18.773365767328272,115.8,97.0,72.4,11,14.43,0.542920720916034,0.8517628939520077,10.221154727424093,16.681386602392035
39,LSU,20.51066298664753,118.6,98.1,71.3,10,11.11,1.1750828733309415,0.7290682790603218,8.748819348723861,16.124002648272025
40,Missouri,12.285454265959288,114.6,102.3,71.4,12,21.07,-1.098068216755089,0.7469324190695649,8.963189028834778,16.04144500946439
41,Washington,13.83156700106467,113.3,99.5,69.5,9,17.01,-0.39730412486691646,0.8724987496908391,10.46998499629007,15.540769438401277
42,Butler,19.214302482594732,119.0,99.8,72.8,10,11.18,1.0042878103243416,0.767608185951978,9.211298231423736,15.362071604850264
43,Texas,13.542427483004985,116.4,102.8,70.7,10,16.69,-0.393446564624377,0.8730128220183566,10.47615386422028,15.152810673397491
44,Creighton,9.806423424176828,111.9,102.1,67.0,10,21.56,-1.4691970719778964,0.6540667365438059,7.848800838525671,14.974920877791572
45,Miami FL,19.325378304000054,114.2,94.9,73.8,11,9.02,1.2881722880000068,0.701446032820002,8.417352393840023,14.858033890756536
46,VCU,16.885437442338358,112.7,95.8,72.7,11,12.35,0.5669296802922947,0.8480881784978316,10.17705814197398,14.705842418302563
47,Seton Hall,20.38389231984418,111.2,90.9,69.0,11,3.54,2.1054865399805225,0.46839622691757304,5.620754723010877,14.687677623914883
48,Northwestern,14.298945335978857,114.9,100.6,71.1,10,14.98,-0.08513183300264293,0.9086981400306869,10.904377680368244,14.654204764937475
49,Saint Louis,20.641060042574097,116.6,96.0,75.0,10,3.61,2.128882505321762,0.4614121343336587,5.536945612003905,14.571652610417736
50,Boise St.,19.19565246667534,111.9,92.7,69.5,9,9.23,1.2457065583344176,0.7120071151289351,8.544085381547221,14.34231393654835
51,Mississippi,10.253234770589472,108.9,98.7,68.7,10,18.48,-1.028345653676316,0.7624185580668639,9.149022696802366,14.183819792962964
