date,team,opponent,location_value,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,possessions,raw_off_eff
2021-11-09,The Citadel,Pittsburgh,-1,200,29,63,0.46,13,36,0.361,7,11,0.636,9,27,36,18,5,2,10,23,78,69.22,112.68
2021-11-09,Pittsburgh,The Citadel,1,200,23,60,0.383,2,17,0.118,15,31,0.484,15,23,38,14,6,2,7,16,63,66.72,94.42
2021-11-09,Fairfield,Providence,-1,200,27,63,0.429,9,26,0.346,10,15,0.667,6,24,30,14,7,0,16,25,73,80.12,91.11
2021-11-09,Providence,Fairfield,1,200,26,51,0.51,4,18,0.222,24,36,0.667,6,22,28,16,7,7,14,18,80,76.1,105.12
2021-11-09,Boston University,Rhode Island,-1,200,20,55,0.364,7,27,0.259,15,23,0.652,9,19,28,7,6,3,16,22,62,72.92,85.02
2021-11-09,Rhode Island,Boston University,1,200,23,47,0.489,2,6,0.333,23,31,0.742,6,23,29,9,13,10,16,21,71,71.72,98.99
2021-11-09,North Carolina Central,Richmond,-1,200,23,58,0.397,9,26,0.346,5,5,1.0,11,26,37,13,7,3,19,17,60,68.38,87.75
2021-11-09,Richmond,North Carolina Central,1,200,24,58,0.414,6,27,0.222,16,21,0.762,9,22,31,14,13,4,11,10,70,69.97,100.04
2021-11-09,USC Upstate,South Carolina,-1,200,21,52,0.404,7,18,0.389,11,22,0.5,3,28,31,11,8,5,20,21,60,79.45,75.52
2021-11-09,South Carolina,USC Upstate,1,200,30,76,0.395,4,19,0.211,14,21,0.667,14,31,45,10,10,6,14,17,78,85.97,90.72
2021-11-09,Mississippi Valley St.,St. John's,-1,200,20,69,0.29,6,23,0.261,15,21,0.714,9,13,22,13,9,2,18,19,61,87.97,69.34
2021-11-09,St. John's,Mississippi Valley St.,1,200,45,65,0.692,13,25,0.52,16,20,0.8,10,37,47,30,9,9,20,24,119,84.5,140.83
2021-11-09,Lafayette,Syracuse,-1,200,23,67,0.343,12,41,0.293,5,6,0.833,6,21,27,16,4,3,10,14,63,73.85,85.31
2021-11-09,Syracuse,Lafayette,1,200,37,68,0.544,13,26,0.5,10,13,0.769,8,33,41,26,7,5,9,10,97,75.17,129.03
