date,team,opponent,location_value,neutral,game_url,game_id
2026-01-28,Tulane,South Florida,1,0,,2026-01-28__South Florida__Tulane
2026-01-28,Tulsa,North Texas,1,0,,2026-01-28__North Texas__Tulsa
2026-01-28,UAB,UTSA,-1,0,,2026-01-28__UAB__UTSA
2026-01-28,UCLA,Oregon,-1,0,,2026-01-28__Oregon__UCLA
2026-01-28,USC,Iowa,-1,0,,2026-01-28__Iowa__USC
2026-01-28,UTEP,Louisiana Tech,1,0,,2026-01-28__Louisiana Tech__UTEP
2026-01-28,UTSA,UAB,1,0,,2026-01-28__UAB__UTSA
2026-01-28,Utah St.,Wyoming,1,0,,2026-01-28__Utah St.__Wyoming
2026-01-28,Valparaiso,Belmont,1,0,,2026-01-28__Belmont__Valparaiso
2026-01-28,Washington St.,Seattle,1,0,,2026-01-28__Seattle__Washington St.
2026-01-28,West Georgia,Bellarmine,-1,0,,2026-01-28__Bellarmine__West Georgia
2026-01-28,Western Kentucky,Kennesaw St.,-1,0,,2026-01-28__Kennesaw St.__Western Kentucky
2026-01-28,Wisconsin,Minnesota,1,0,,2026-01-28__Minnesota__Wisconsin
2026-01-28,Wyoming,Utah St.,-1,0,,2026-01-28__Utah St.__Wyoming
2026-01-28,Xavier,Seton Hall,-1,0,,2026-01-28__Seton Hall__Xavier
2026-01-29,Abilene Christian,Utah Tech,1,0,,2026-01-29__Abilene Christian__Utah Tech
2026-01-29,Albany,NJIT,1,0,,2026-01-29__Albany__NJIT
2026-01-29,Appalachian St.,Southern Mississippi,-1,0,,2026-01-29__Appalachian St.__Southern Mississippi
2026-01-29,Binghamton,Bryant,1,0,,2026-01-29__Binghamton__Bryant
2026-01-29,Bryant,Binghamton,-1,0,,2026-01-29__Binghamton__Bryant
2026-01-29,CSUN,UC Davis,1,0,,2026-01-29__CSUN__UC Davis
2026-01-29,Cal Poly,Cal St. Bakersfield,-1,0,,2026-01-29__Cal Poly__Cal St. Bakersfield
2026-01-29,Cal St. Bakersfield,Cal Poly,1,0,,2026-01-29__Cal Poly__Cal St. Bakersfield
2026-01-29,Campbell,Stony Brook,1,0,,2026-01-29__Campbell__Stony Brook
2026-01-29,Central Connecticut,Wagner,-1,0,,2026-01-29__Central Connecticut__Wagner
2026-01-29,Charleston,Hofstra,-1,0,,2026-01-29__Charleston__Hofstra
2026-01-29,Charleston Southern,Radford,1,0,,2026-01-29__Charleston Southern__Radford
2026-01-29,Chattanooga,Wofford,1,0,,2026-01-29__Chattanooga__Wofford
2026-01-29,Chicago St.,Saint Francis,1,0,,2026-01-29__Chicago St.__Saint Francis
2026-01-29,Coastal Carolina,South Alabama,-1,0,,2026-01-29__Coastal Carolina__South Alabama
2026-01-29,Colorado,Iowa St.,-1,0,,2026-01-29__Colorado__Iowa St.
2026-01-29,Drexel,Hampton,1,0,,2026-01-29__Drexel__Hampton
2026-01-29,East Tennessee St.,Western Carolina,1,0,,2026-01-29__East Tennessee St.__Western Carolina
2026-01-29,Eastern Illinois,Tennessee Martin,1,0,,2026-01-29__Eastern Illinois__Tennessee Martin
2026-01-29,Eastern Washington,Northern Arizona,-1,0,,2026-01-29__Eastern Washington__Northern Arizona
2026-01-29,Elon,William & Mary,1,0,,2026-01-29__Elon__William & Mary
2026-01-29,Fairleigh Dickinson,Stonehill,-1,0,,2026-01-29__Fairleigh Dickinson__Stonehill
2026-01-29,Florida Atlantic,Memphis,-1,0,,2026-01-29__Florida Atlantic__Memphis
2026-01-29,Florida Gulf Coast,North Alabama,1,0,,2026-01-29__Florida Gulf Coast__North Alabama
